network-number             host-bits    netmask
124.164.0.0              0.3.255.255    255.252.0.0         
124.172.0.0              0.3.255.255    255.252.0.0         
124.192.0.0              0.1.255.255    255.254.0.0         
124.200.0.0              0.7.255.255    255.248.0.0         
124.225.0.0              0.0.255.255    255.255.0.0         
124.227.230.0              0.0.0.255    255.255.255.0       
124.232.159.0              0.0.0.255    255.255.255.0       
124.234.0.0              0.1.255.255    255.254.0.0         
124.250.0.0              0.1.255.255    255.254.0.0         
125.32.0.0              0.15.255.255    255.240.0.0         
125.64.6.0                 0.0.0.255    255.255.255.0       
125.64.16.124                0.0.0.0    255.255.255.255     
125.64.16.126                0.0.0.0    255.255.255.255     
125.70.128.0             0.0.127.255    255.255.128.0       
125.73.0.0               0.0.255.255    255.255.0.0         
125.76.224.0              0.0.31.255    255.255.224.0       
125.77.0.0               0.0.255.255    255.255.0.0         
125.78.0.0               0.1.255.255    255.254.0.0         
125.80.0.0               0.7.255.255    255.248.0.0         
125.88.0.0               0.0.255.255    255.255.0.0         
125.90.64.0                0.0.3.255    255.255.252.0       
125.91.240.0               0.0.3.255    255.255.252.0       
125.91.244.0               0.0.1.255    255.255.254.0       
125.91.253.51                0.0.0.0    255.255.255.255     
125.96.0.0               0.1.255.255    255.254.0.0         
125.98.0.0               0.0.255.255    255.255.0.0         
125.171.0.0              0.0.255.255    255.255.0.0         
125.208.0.0               0.0.15.255    255.255.240.0       
125.211.0.0              0.0.255.255    255.255.0.0         
149.7.32.19                  0.0.0.0    255.255.255.255     
175.42.0.0               0.1.255.255    255.254.0.0         
175.44.0.0               0.0.255.255    255.255.0.0         
180.96.0.0                 0.0.1.255    255.255.254.0       
180.118.0.0              0.0.255.255    255.255.0.0         
180.137.0.0               0.0.31.255    255.255.224.0       
180.152.0.0              0.7.255.255    255.248.0.0         
180.160.0.0             0.15.255.255    255.240.0.0         
183.0.0.0               0.63.255.255    255.192.0.0         
202.4.252.0                0.0.3.255    255.255.252.0       
202.14.235.3                 0.0.0.0    255.255.255.255     
202.14.238.38                0.0.0.0    255.255.255.255     
202.41.240.0              0.0.15.255    255.255.240.0       
202.43.144.0              0.0.15.255    255.255.240.0       
202.69.19.114                0.0.0.0    255.255.255.255     
202.91.176.0              0.0.15.255    255.255.240.0       
202.93.252.0               0.0.3.255    255.255.252.0       
202.123.110.0              0.0.0.255    255.255.255.0       
202.152.176.0             0.0.15.255    255.255.240.0       
202.158.160.0             0.0.31.255    255.255.224.0       
202.179.240.0             0.0.15.255    255.255.240.0       
203.83.56.0                0.0.7.255    255.255.248.0       
203.86.0.0                0.0.31.255    255.255.224.0       
203.86.64.0               0.0.31.255    255.255.224.0       
203.88.32.0               0.0.31.255    255.255.224.0       
203.88.192.0              0.0.31.255    255.255.224.0       
203.91.46.40                 0.0.0.0    255.255.255.255     
203.91.120.0               0.0.7.255    255.255.248.0       
203.95.0.0                 0.0.7.255    255.255.248.0       
203.100.92.0               0.0.3.255    255.255.252.0       
203.100.192.0             0.0.15.255    255.255.240.0       
203.119.24.0               0.0.7.255    255.255.248.0       
203.130.33.32               0.0.0.31    255.255.255.224     
203.134.240.0              0.0.3.255    255.255.252.0       
203.134.244.0              0.0.0.255    255.255.255.0       
203.156.243.195              0.0.0.0    255.255.255.255     
203.156.243.196              0.0.0.1    255.255.255.254     
203.175.128.0             0.0.31.255    255.255.224.0       
203.187.160.0             0.0.31.255    255.255.224.0       
203.196.0.0                0.0.3.255    255.255.252.0       
203.196.4.0                0.0.0.255    255.255.255.0       
203.196.7.0                0.0.0.255    255.255.255.0       
210.14.64.0               0.0.31.255    255.255.224.0       
210.14.112.0               0.0.1.255    255.255.254.0       
210.14.127.0               0.0.0.255    255.255.255.0       
210.87.128.0              0.0.63.255    255.255.192.0       
210.185.192.0             0.0.63.255    255.255.192.0       
211.148.192.0             0.0.31.255    255.255.224.0       
218.109.0.0              0.0.255.255    255.255.0.0         
218.249.0.0              0.0.255.255    255.255.0.0         
219.82.0.0               0.0.255.255    255.255.0.0         
220.112.0.0              0.3.255.255    255.252.0.0         
220.154.0.0              0.0.255.255    255.255.0.0         
220.231.0.0               0.0.63.255    255.255.192.0       
220.231.128.0            0.0.127.255    255.255.128.0       
220.232.64.0              0.0.63.255    255.255.192.0       
220.242.0.0              0.1.255.255    255.254.0.0         
221.122.0.0              0.1.255.255    255.254.0.0         
221.176.0.0              0.7.255.255    255.248.0.0         
221.213.18.0               0.0.0.255    255.255.255.0       
222.125.0.0              0.0.255.255    255.255.0.0         
222.128.0.0              0.3.255.255    255.252.0.0         
222.248.0.0              0.1.255.255    255.254.0.0         

1.51.0.0                 0.0.255.255    255.255.0.0         
1.184.0.0                0.1.255.255    255.254.0.0         
49.52.0.0                0.3.255.255    255.252.0.0         
49.120.0.0               0.3.255.255    255.252.0.0         
49.140.0.0               0.1.255.255    255.254.0.0         
58.17.0.0                0.0.255.255    255.255.0.0         
58.24.0.0                0.1.255.255    255.254.0.0         
58.154.0.0               0.1.255.255    255.254.0.0         
58.192.0.0              0.15.255.255    255.240.0.0         
58.240.0.0               0.1.255.255    255.254.0.0         
59.32.0.0               0.15.255.255    255.240.0.0         
59.64.0.0               0.15.255.255    255.240.0.0         
60.0.0.0                0.31.255.255    255.224.0.0         
60.63.0.0                0.0.255.255    255.255.0.0         
61.28.0.0                 0.0.15.255    255.255.240.0       
61.48.0.0                0.7.255.255    255.248.0.0         
61.128.0.0              0.63.255.255    255.192.0.0         
61.232.0.0               0.3.255.255    255.252.0.0         
61.236.0.0               0.1.255.255    255.254.0.0         
61.240.0.0               0.3.255.255    255.252.0.0         
110.64.0.0               0.1.255.255    255.254.0.0         
111.114.0.0              0.1.255.255    255.254.0.0         
111.116.0.0              0.1.255.255    255.254.0.0         
111.186.0.0              0.1.255.255    255.254.0.0         
113.54.0.0               0.1.255.255    255.254.0.0         
114.212.0.0              0.1.255.255    255.254.0.0         
114.214.0.0              0.0.255.255    255.255.0.0         
115.24.0.0               0.3.255.255    255.252.0.0         
115.154.0.0              0.1.255.255    255.254.0.0         
115.156.0.0              0.1.255.255    255.254.0.0         
115.158.0.0              0.0.255.255    255.255.0.0         
116.13.0.0               0.0.255.255    255.255.0.0         
116.56.0.0               0.1.255.255    255.254.0.0         
118.202.0.0              0.1.255.255    255.254.0.0         
118.228.0.0              0.1.255.255    255.254.0.0         
118.230.0.0              0.0.255.255    255.255.0.0         
120.94.0.0               0.1.255.255    255.254.0.0         
121.48.0.0               0.1.255.255    255.254.0.0         
121.52.160.0              0.0.31.255    255.255.224.0       
121.192.0.0              0.3.255.255    255.252.0.0         
121.248.0.0              0.3.255.255    255.252.0.0         
122.204.0.0              0.3.255.255    255.252.0.0         
125.216.0.0              0.7.255.255    255.248.0.0         
137.189.0.0              0.0.255.255    255.255.0.0         
140.113.0.0              0.0.255.255    255.255.0.0         
143.89.0.0               0.0.255.255    255.255.0.0         
144.214.0.0              0.0.255.255    255.255.0.0         
147.8.0.0                0.0.255.255    255.255.0.0         
152.101.0.0              0.0.255.255    255.255.0.0         
152.104.0.0              0.0.255.255    255.255.0.0         
